2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:17:06,820 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:06,860 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:06,866 p=48226 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:17:07,644 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:07,645 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:07,655 p=48226 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:17:07,660 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:08,786 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:08,791 p=48226 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:17:09,964 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:09,973 p=48226 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:17:10,796 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:10,802 p=48226 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:17:11,518 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:11,524 p=48226 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:17:12,229 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:12,236 p=48226 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:17:12,950 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:12,958 p=48226 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:17:13,433 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:13,439 p=48226 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:17:13,823 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:13,830 p=48226 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:17:14,210 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:14,219 p=48226 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:17:14,812 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:14,819 p=48226 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:17:14,825 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:15,952 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:15,958 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:15,963 p=48226 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:17:16,683 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:16,685 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:16,691 p=48226 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:17:17,374 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:17,374 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:17,387 p=48226 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:17:17,393 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:18,423 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:18,429 p=48226 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:17:19,624 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:19,631 p=48226 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 02:17:20,366 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:20,373 p=48226 u=jason n=ansible | TASK [prometheus : Set Prometheus external URL] *************************************************************************************************************************
2024-11-18 02:17:20,806 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:20,816 p=48226 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 02:17:21,366 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:21,374 p=48226 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 02:17:21,380 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:22,427 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:22,432 p=48226 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 02:17:23,558 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:23,564 p=48226 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 02:17:24,284 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:24,292 p=48226 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 02:17:24,848 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:24,854 p=48226 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 02:17:25,338 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:25,345 p=48226 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 02:17:25,893 p=48226 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 02:17:25,894 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:25,901 p=48226 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 02:17:25,909 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:27,011 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:27,016 p=48226 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 02:17:27,516 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:27,522 p=48226 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 02:17:27,891 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:27,896 p=48226 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 02:17:29,140 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:29,146 p=48226 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 02:17:29,700 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:29,709 p=48226 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 02:17:29,716 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:30,804 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:30,808 p=48226 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 02:17:31,914 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:31,921 p=48226 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 02:17:32,657 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:32,662 p=48226 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 02:17:33,242 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:33,251 p=48226 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 02:17:33,258 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:34,385 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:34,387 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:34,392 p=48226 u=jason n=ansible | TASK [nginx : Install nginx] ********************************************************************************************************************************************
2024-11-18 02:17:35,592 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:35,608 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:35,613 p=48226 u=jason n=ansible | TASK [nginx : Template Nginx Config] ************************************************************************************************************************************
2024-11-18 02:17:36,446 p=48226 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 02:17:36,447 p=48226 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:17:36,453 p=48226 u=jason n=ansible | TASK [nginx : Enable and Start Nginx Service] ***************************************************************************************************************************
2024-11-18 02:17:37,035 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:37,042 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:37,061 p=48226 u=jason n=ansible | RUNNING HANDLER [nginx : Restart Nginx] *********************************************************************************************************************************
2024-11-18 02:17:37,745 p=48226 u=jason n=ansible | changed: [1PipeTeaseOps-1]
2024-11-18 02:17:37,745 p=48226 u=jason n=ansible | changed: [1PipeTeaseOps-2]
2024-11-18 02:17:37,746 p=48226 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 02:17:37,746 p=48226 u=jason n=ansible | 1PipeTeaseOps-1            : ok=21   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:17:37,746 p=48226 u=jason n=ansible | 1PipeTeaseOps-2            : ok=33   changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:18:28,929 p=49107 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:18:28,938 p=49107 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:18:30,195 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:30,201 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:30,205 p=49107 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:18:31,104 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:31,218 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:31,226 p=49107 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 02:18:32,310 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:32,330 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:32,335 p=49107 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:18:33,138 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:33,139 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:33,147 p=49107 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:18:33,152 p=49107 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:18:34,188 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:34,193 p=49107 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:18:35,277 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:35,282 p=49107 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:18:36,080 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:36,086 p=49107 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:18:36,815 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:36,822 p=49107 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:18:37,491 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:37,498 p=49107 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:18:38,178 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:38,186 p=49107 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:18:38,635 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:38,641 p=49107 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:18:39,010 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:39,016 p=49107 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:18:39,386 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:39,395 p=49107 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:18:40,010 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:40,017 p=49107 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:18:40,024 p=49107 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:18:41,055 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:41,091 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:41,095 p=49107 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:18:41,772 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:41,775 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:41,781 p=49107 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:18:42,339 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:42,340 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:18:42,352 p=49107 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:18:42,358 p=49107 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:18:43,383 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:43,388 p=49107 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:18:44,541 p=49107 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:18:44,548 p=49107 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 02:18:44,631 p=49107 u=jason n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
2024-11-18 02:18:44,632 p=49107 u=jason n=ansible | fatal: [1PipeTeaseOps-2]: FAILED! => changed=false 
  msg: |-
